产地,产品,类别,单位,低价,高价,均价,发行时间
鲁,山药,蔬菜,斤,6.5,7.0,6.75,2023-07-02 00:00:00
冀,山药,蔬菜,斤,5.8,6.8,6.3,2023-07-02 00:00:00
豫冀,山药,蔬菜,斤,6.5,8.5,7.5,2023-07-02 00:00:00
川桂,莲藕,蔬菜,斤,5.0,6.0,5.5,2023-07-02 00:00:00
冀,红薯,蔬菜,斤,2.4,2.8,2.6,2023-07-02 00:00:00
粤,红薯,蔬菜,斤,2.5,3.5,3.0,2023-07-02 00:00:00
冀,紫薯,蔬菜,斤,2.0,3.0,2.5,2023-07-02 00:00:00
皖,荸荠,蔬菜,斤,2.0,3.0,2.5,2023-07-02 00:00:00
鲁,芋头,蔬菜,斤,6.5,7.0,6.75,2023-07-02 00:00:00
鲁,姜,蔬菜,斤,5.0,6.0,5.5,2023-07-02 00:00:00
冀,玉米,蔬菜,斤,1.0,1.3,1.15,2023-07-01 00:00:00
冀,玉米,蔬菜,斤,1.0,1.3,1.15,2023-07-01 00:00:00
鲁冀,苦瓜,蔬菜,斤,1.2,1.8,1.5,2023-07-01 00:00:00
冀鲁,丝瓜,蔬菜,斤,2.0,4.0,3.0,2023-07-01 00:00:00
冀蒙晋,西葫芦,蔬菜,斤,0.6,1.3,0.95,2023-07-01 00:00:00
鲁,贝贝南瓜,蔬菜,斤,1.5,1.8,1.65,2023-07-01 00:00:00
鲁冀,金丝南瓜,蔬菜,斤,1.0,1.5,1.25,2023-07-01 00:00:00
冀陕,板栗南瓜,蔬菜,斤,1.6,1.8,1.7,2023-07-01 00:00:00
桂,南北瓜,蔬菜,斤,1.2,1.5,1.35,2023-07-01 00:00:00
冀辽鲁蒙,尖椒,蔬菜,斤,1.2,2.5,1.85,2023-07-01 00:00:00
鲁冀,红尖椒,蔬菜,斤,5.0,6.5,5.75,2023-07-01 00:00:00
鲁云,美人椒,蔬菜,斤,5.0,6.0,5.5,2023-07-01 00:00:00
鲁冀,螺丝椒,蔬菜,斤,2.2,3.5,2.85,2023-07-01 00:00:00
鲁冀辽,柿子椒,蔬菜,斤,1.5,2.5,2.0,2023-07-01 00:00:00
鲁冀,线椒,蔬菜,斤,2.5,3.5,3.0,2023-07-01 00:00:00
鲁冀辽,杭椒,蔬菜,斤,1.5,2.0,1.75,2023-07-01 00:00:00
云粤,小米椒,蔬菜,斤,10.0,11.0,10.5,2023-07-01 00:00:00
鲁冀,彩椒,蔬菜,斤,5.0,5.5,5.25,2023-07-01 00:00:00
冀,白萝卜,蔬菜,斤,0.7,0.9,0.8,2023-07-01 00:00:00
冀,心里美,蔬菜,斤,1.3,1.5,1.4,2023-07-01 00:00:00
nan,水蜜桃,水果,斤,7.0,12.0,9.5,2023-07-02 00:00:00
nan,黄油桃,水果,斤,3.5,6.0,4.75,2023-07-02 00:00:00
nan,黄毛桃,水果,斤,3.0,6.0,4.5,2023-07-02 00:00:00
nan,油蟠,水果,斤,2.5,6.0,4.25,2023-07-02 00:00:00
nan,突围,水果,斤,2.0,3.0,2.5,2023-07-02 00:00:00
nan,李子,水果,斤,2.0,7.0,4.5,2023-07-02 00:00:00
nan,杏梅,水果,斤,2.5,3.5,3.0,2023-07-02 00:00:00
nan,串红,水果,斤,2.5,4.5,3.5,2023-07-02 00:00:00
nan,胭脂红,水果,斤,2.0,3.5,2.75,2023-07-02 00:00:00
nan,无籽小号-大号,水果,斤,1.2,1.4,1.3,2023-07-02 00:00:00
nan,麒麟,水果,斤,2.0,2.7,2.35,2023-07-02 00:00:00
nan,特小凤,水果,斤,2.8,3.0,2.9,2023-07-02 00:00:00
nan,L600吊秧瓜,水果,斤,2.0,3.0,2.5,2023-07-02 00:00:00
nan,甜王,水果,斤,1.2,1.4,1.3,2023-07-02 00:00:00
nan,金城5号,水果,斤,1.2,1.6,1.4,2023-07-02 00:00:00
nan,蜜童,水果,斤,2.0,2.3,2.15,2023-07-02 00:00:00
nan,墨童,水果,斤,1.8,2.2,2.0,2023-07-02 00:00:00
nan,8424西瓜,水果,斤,1.5,2.0,1.75,2023-07-02 00:00:00
nan,国产香蕉,水果,斤,3.5,3.8,3.65,2023-07-02 00:00:00
nan,进口香蕉,水果,斤,4.0,4.6,4.3,2023-07-02 00:00:00
nan,美早,水果,斤,15.0,40.0,27.5,2023-07-02 00:00:00
nan,南阳,水果,斤,20.0,28.0,24.0,2023-07-02 00:00:00
nan,巴托,水果,斤,10.0,20.0,15.0,2023-07-02 00:00:00
nan,白条猪,肉禽蛋,斤,8.8,8.8,8.8,2023-07-02 00:00:00
nan,白条猪,肉禽蛋,斤,7.85,7.85,7.85,2023-07-02 00:00:00
nan,前臀尖,肉禽蛋,斤,8.5,8.5,8.5,2023-07-02 00:00:00
nan,前臀尖,肉禽蛋,斤,8.0,8.0,8.0,2023-07-02 00:00:00
nan,后臀尖,肉禽蛋,斤,8.5,8.5,8.5,2023-07-02 00:00:00
nan,后臀尖,肉禽蛋,斤,8.0,8.0,8.0,2023-07-02 00:00:00
nan,五花肉,肉禽蛋,斤,10.5,10.5,10.5,2023-07-02 00:00:00
nan,五花肉,肉禽蛋,斤,9.5,10.0,9.75,2023-07-02 00:00:00
nan,五花头,肉禽蛋,斤,8.0,8.5,8.25,2023-07-02 00:00:00
nan,纯通脊,肉禽蛋,斤,9.5,10.5,10.0,2023-07-02 00:00:00
nan,通脊,肉禽蛋,斤,8.0,8.5,8.25,2023-07-02 00:00:00
nan,小里脊,肉禽蛋,斤,10.5,11.5,11.0,2023-07-02 00:00:00
